,Unnamed: 0,기사요약
212,212,"【 질문1 】  이 기자, 어제 경제분야 TV토론이 열렸는데 이재명 민주당 후보가 상대 후보의 태도에 대해 불만을 터뜨렸다고요【 기자 】  이재명 더불어민주당 후보는 라디오방송에 출연해 어제 TV 토론을 평가했는데, 윤석열 국민의힘 후보를 강하게 비판했습니다▶ 인터뷰 : 이재명 / 더불어민주당 대선 후보- ""우리 민주당에는 지나치게 과하고 심하시고 국민의힘에는 지나치게 관대하더라심상정 정의당 후보는 주도권 토론 30분 동안 자신에게 질문 한번 오지 않았다고 서운함을 토로하기도 했습니다""  안 후보는  윤석열 후보의 어퍼컷과 이재명 후보의 발차기에 대응해 자신의 기호 4번을 강조하는 '4번 타자' 퍼포먼스도 선보였는데요【 질문2 】  그런데 정작 밖에서는 심상정 후보의 한마디가 화제가 됐다고요?【 기자 】  심상정 정의당 후보는 어제 토론 마무리 발언 1분을 최근 지하철 역에서 벌어지고 있는 장애인 시위를 달래는 데 사용했습니다전장연 측은 ""이재명, 윤석열, 안철수 후보는 심 후보의 말에 동의하느냐""며 답변을 요구했지만, 대선토론회에서 장애인 이동권 문제가 언급된 만큼, 시민과 마찰을 줄일 수 있도록 승하차 지연시위는 하지 않겠다고 말했습니다"
213,213,"이어 서민들이 자주 찾는 서울 망원시장을 찾아 유세를 펼쳤고, 오후엔 경기도 안양, 시흥에 있는 전통시장에서 시민들과 직접 만나 지지를 호소합니다안 후보는 경북 포항으로 이동해 전통시장에서 시민들과 만날 계획입니다"
214,214,"이재명 후보는 충청도를 찾아 선제 타격론을 언급한 윤석열 후보가 한반도 전쟁위기 원인 가운데 하나라면서 맹공을 퍼부었고, 윤석열 후보는 자신이 이재명 후보와 민주당보다 DJ 정신에 가깝다면서 호남 민심 얻기에 힘을 쏟고 있습니다이 후보는 윤 후보가 편 가르기를 하고, 한반도 전쟁 위기까지 고조시키고 있다면서 윤 후보에 대한 비판을 이어갔습니다]앞서 이 후보는 아침 언론 인터뷰에서 대장동 의혹은 '검찰 게이트'이고, 국민의힘 윤석열 후보가 몸통이라고 100% 확신한다면서 연일 윤 후보에 대한 공격 수위를 높이고 있습니다오늘 김대중 전 대통령 생가를 방문했다고요?[기자]윤석열 후보는 조금 전 김대중 전 대통령의 생가가 있는 전남 신안군 하의도에 방문했습니다[윤석열 / 국민의힘 대선 후보 : 저나 국민의힘은 지금 이재명의 민주당보다 더 김대중 정신에 가깝고, 이 자유민주주의와 시장경제를 추구하는 김대중 정신을 구현하려 하고 있습니다[기자]정의당 심상정 후보는 오늘 수도권 집중 유세를 벌이고 있습니다"
215,215,"심상정 후보를 지지하는 이유는, 어쩌면 이 부담을 나눌 수 있다는 믿음이 있어서일 거다남의 일, 영화 속 일들이 내 일이 됐을 때                   ▲  정의당 심상정 대선 후보가 8일 오후 경기도 안산시 단원구 유성식당에서 시화공단 작은공장 노동자들을 만나 식사하며 대화하고 있다그렇기에 차별받는 사람들 곁에, 싸우는 이들 곁에 누가 있는지, 이들을 위해 목소리를 내는 사람이 누구인지 보게 된다고 노회찬 의원이 6411버스 연설에서 말했듯, 실제 정의당을 필요로 하는 사람들에게 심상정 후보와 정의당은 눈에 보이지 않을 수도 있다실제 노동현장에서, 차별의 현장에서 싸우는 사람이 되었을 때, 커다란 힘을 상대로 개인이 도저히 이길 수는 없다는 걸 알게 됐을 때, 그때에야 정의당을 보게 된다▲  정의당 심상정 대선 후보가 지난해 12월 9일 서울 여의도 국회에서 열린 ‘중대재해처벌법 개정 방향 발표 기자회견’에서 산재사망사고 유가족들과 함께 구호를 외치고 있다그렇게 심상정 후보와 정의당은 나에게 '필요로 할 때 손에 닿는' 정당, 손 닿을 듯 가까운 정치인이 됐다그래서 이제는 차별과 불평등의 당사자가 생길 때마다 반복해서 쉽게 나오는 약속보다, 곁에서 함께 싸우는 정치인이 누구인지가 중요해졌다어떤 이에게는 잠시 미뤄두어도 괜찮을지 모르는 것들이 누군가에게는 당장 시급하고 절실한 요구임을 아는 정치인이, 지금 나한테는 정의당 심상정 후보다이제 나는 관객이 아니라 언제든 싸움의 당사자가 될 수 있다는 걸 안다이게 내가 심상정 후보를 지지하는 이유다"
216,216,"이런 가운데 이 후보는 오늘 아침 MBC 라디오 인터뷰에서 '이재명 게이트'는 범죄 집단에 돈 받게 해주고 수사 안 한 윤 후보에 잘못이 있다고 역공을 펼치면서, 오히려 '윤석열 게이트'라고 강조했습니다[앵커]윤석열 후보는 어제부터 서해안을 따라 유세 중인데, 오늘은 어디를 갑니까?[기자]윤 후보, 서해안 벨트 유세 이틀째를 맞아 전통적 민주당 텃밭인 전북과 전남 지역을 잇따라 방문하면서 호남 민심 얻기에 나섭니다윤 후보는 이재명 후보와 현 민주당이 김대중-노무현의 계승자가 아니라고 일갈한 만큼, DJ 생가 방문에 의미 부여를 하고 있는데요이준석 대표도 오늘 아침 MBC 라디오 인터뷰에서 윤 후보가 새로운 정치를 하겠다는 의지로 취약 지역을 우선 공략한다면서 지속적인 호남 방문의 의미를 부여했습니다이와 함께 원희룡 정책본부장은 YTN 라디오와 인터뷰에서 이재명 후보 옆집의 비선캠프 이용 의혹과 관련해 이 후보가 이 사안에 대해 입장을 밝혀야 한다면서 재차 이 후보를 겨냥했습니다"
217,217,"유권자와 함께하는 대선 정책 ‘나의 선거, 나의 공약’⑤돌봄이 필요한 사람들장애인들의 ‘당연한 권리’최중증 발달장애인인 이윤호씨와 어머니 김남연씨가 지난달 24일 서울 성동구 자택에서 도전적 행동을 줄이기 위해 공을 손에 쥐고 이야기를 나누고 있다지방자치단체별로 저상버스 도입률은 어느 정도인지, 장애인 콜택시는 있는지 확인부터 해야 한다서울은 전동휠체어 탑승이 가능한 저상버스 도입률이 그나마 57장애인 콜택시는 지역에 따라 필요한 서류와 예약방법 등이 모두 다르다부산에서 관광지 사이를 이동할 때마다 장애인 콜택시를 이용했는데, 장시간 기다리느라 시간을 다 허비했다2020년 한국장애인개발원이 펴낸 ‘장애인콜택시 전국 통합체계 마련을 위한 연구’를 보면, 장애인 콜택시 평균 대기 시간은 48저상버스 도입 의무화와 함께 장애인 콜택시 같은 특별교통수단의 시외 운행에 필요한 예산 근거를 담은 교통약자의 이동편의 증진법 개정안이 지난해 말 국회를 통과했는데, 원안에 의무조항(‘해야 한다’)으로 돼 있던 예산 지원을 임의조항(‘할 수 있다’)으로 바꿔 문제가 됐다지난달 24일 서울 성동구 집에서 만난 어머니 김남연(55)씨는 아들의 도전적 행동을 말리다 긁힌 상처를 찍은 사진을 여러장 보여줬다“올해 초에 이불을 개서 넣었는데, 윤호가 이불을 개지 말라는 거예요그러면 가서 꼬집는 거예요김씨는 발달장애인은 물론이거니와 돌봄하는 부모도 이 수업을 들어야 한다고 했다”전남 여수에 사는 이부심(58)씨는 발달장애인 아들 강법운(32)씨의 치과 치료를 하려면 차로 2시간 거리인 광주에 있는 광주전남 권역장애인구강진료센터까지 가야 한다“중증장애인을 위한 ‘운동 보조’ 제도가 있다면 장애인 후배들이 운동을 지속할 수 있을 것 같아요”☞김남연, 최효숙, 이부심의 정책 요구: 발달장애인 행동중재지원센터 설립, 발달장애인 자녀 대리처방 허용, 기초자치단체 단위 장애인 치과전담병원 지정안태호 기자 eco@hani"
218,218,"SK텔레콤 관계자는 ""임직원들과 함께 누구나 접근하기 쉬운 일상 속에서 친환경 경영을 실천하고 있다""고 강조했다글로벌 통신산업의 경쟁이 치열한 가운데 국내 통신업계 선두주자인 SK텔레콤은 환경·사회·지배구조(ESG) 경영에 주력하고 있다SK텔레콤은 임직원들과 함께 ESG 경영을 확대하고 있다SK텔레콤은 사회적 경영 강화를 목표로 한국장애인고용공단과 함께 장애인 근로자 이동권 확대를 위한 '착한셔틀' 서비스를 운영 중이다SK텔레콤'어르신' 보호하고 '장애인' 이동권 지원  SK텔레콤은 다양한 프로그램을 통한 '사회적 경영'에도 힘을 쏟고 있다SK텔레콤은 지난해 6월 싱가포르 최대 은행 DBS그룹의 ESG 경영 연계 기업대출을 통해 3년 만기 자금 2,000억 원을 조달했다이에 대해 SK텔레콤 관계자는 ""환경·사회문제 해결에 앞장서는 회사 측의 노력을 국제적으로 인정받았다""면서 ""더불어 ESG 경영 성과가 사업 활성화로 이어지는 선순환 구조를 확인했다""고 강조했다SK텔레콤은 글로벌 빅테크 및 스타트업계와 ESG 생태계 확산에도 힘쓰고 있다양사는 ESG 펀드를 통해 투자한 스타트업에 양사와 사업 제휴 및 글로벌 공동 진출 기회를 제공하는 등 스타트업 성장을 위한 선순환 프로세스까지 구축해 나갈 방침이다이에 대해 SK텔레콤 관계자는 ""ICT 인프라 및 스타트업 지원 프로그램을 통해 스타트업들이 ESG 경영 전략을 수립하고 투자 유치, 사업 연계 등에 대한 정보도 얻을 수 있도록 지원하고 있다""고 전했다"
219,219,"도움말 플레이어 URL 복사 레이어 닫기 [앵커] 정의당 심상정 후보는 이재명, 윤석열 두 후보를 겨냥해 역사적 퇴행이 우려된다며 자신을 지지해달라 호소했습니다고향 부산을 찾은 국민의당 안철수 후보는 단일화 결렬 책임을 윤 후보에게 돌리며 대선 완주 의지를 다졌습니다기후 위기 극복의  비전을 가진 후보는 자신 뿐이라며 이재명, 윤석열 후보 중 누가 대통령이 되더라도 역사적인 퇴행이 우려된다고 비판했습니다[심상정/정의당 대선 후보 : ""윤석열 후보는 촛불 정부를 심판하기 위해서 더 극단적으로 우경화되고, 이재명 후보는 촛불 정부의 책임을 모면하기 위해서 윤석열 후보 따라쟁이 하고 있습니다국민의당 안철수 후보는 고향 부산을 찾아 집중 유세를 펼쳤습니다"
220,220,"청주시 장애인 이동권 향상을 위해 '저상버스 타고 쏘댕기기' 프로그램을 진행 중인 인권연대 숨 활동가들이다그래서 인권연대 숨의 프로그램 '저상버스 타고 쏘댕기기'는 말 그대로 휠체어 이용자인 인권연대 숨의 이구원 활동가가 저상버스를 타고 청주 도심을 탐방하는 프로그램으로, 지난 2020년 11월에 시작해 지금까지 꾸준히 이어지고 있다청주 시외버스터미널에서는 ▲ 장애인 전용 창구의 실효성 ▲ 편의시설의 문턱 ▲ 휠체어 이용 장애인이 탑승 가능한 시외버스의 유무 등을 점검하고자 했다청주에서 운행하고 있는 시외버스 400여 대의 중 휠체어 이용 장애인이 혼자 탑승할 수 있는 시외버스는 단 한 대도 없었다다만 휠체어 높이에 맞는 매표기가 없어 매표기 화면이 휠체어 이용 장애인의 시야에 온전히 들어오지 않았다또 코로나19로 인한 폐쇄 영향으로 하차장에서 시내버스 정류장으로 가는 내리막길이 천막으로 가려져 휠체어 보행이 불가능한 곳도 있었다그러나 장애인이 이용할 수 있는 시외버스는 단 한 대도 존재하지 않았기에 쏘댕기기에 동행한 기자로서는 '그저 허울만 좋은 것이 아닌가' 하는 생각이 들었다▲  정류소 블럭의 높이와 저상버스 리프트 높이가 맞지 않아 리프트가 완전히 내려오지 않았다첫째로, 시내버스 정류장 버스정보안내기의 화면이 휠체어 높이에 거의 맞지 않았다화면의 일부는 보였던 매표기와 달리 높이에 역광까지 더해지자 휠체어 이용 장애인의 시점에서는 화면이 아예 보이지 않았다버스 리프트 역시 인도의 높이 탓에 제대로 내려오지 않아 이구원 활동가는 이재헌 활동지원사의 도움으로 버스에 겨우 탑승할 수 있었다물론 정상적인 리프트 상태의 저상버스를 탑승할 때도 리프트를 인도에 붙이는 데에 드는 시간 탓에 버스 탑승객들로부터 받는 눈총은 피할 수 없다더하여 장애인 콜택시의 광역이동이 불가능한 청주시 휠체어 이용 장애인들에게는 거의 유일한 광역이동 수단이기도 하다▲  무궁화호와 새마을호 승하차 플랫폼에 존재한 휠체어 리프트 사진이다발전과 비발전, 그 경계에서쏘댕기기 프로그램 현장에서 알 수 있었듯, 청주시 장애인 이동권 상황은 그리 좋지 않았다청주시 장애인들은 이전부터 꾸준히 장애인 콜택시 광역이동 승인을 요구해왔지만, 지금도 해결되지 못한 난제로 남아 있다시외버스는 저상버스 아예 없기에 활동지원사의 도움 없이는 탑승 자체가 불가능하다휠체어 이용 장애인이 시외버스를 탑승하려면 기본적으로 활동지원사같은 동행인이 휠체어와 장애인을 함께 들어올려야 한다저상버스 내 자동 리프트의 잦은 고장 자체도 문제지만, 많은 버스 기사가 휠체어 이용자가 탑승할 수 있게 리프트가 인도에 완전히 내려왔는지 확인하지 않는다지난 2016년, 서울시는 국내에서 처음으로 '무장애 버스정류소'를 시행했는데, 이는 도로와 너무 가까워 휠체어가 진입할 공간이 없던 정류장에 휠체어 진입 공간을 충분히 마련했다는 점에서 호평을 받았다협소한 장소 탓에 휠체어가 서 있을 수 없는 기존 정류장과 달리 휠체어가 서 있을 수 있는 공간을 만든 덕에 휠체어 이용 장애인이 편리하게 버스를 이용할 수 있다"
221,221,[KBS 부산]지난 20년이 넘는 시간동안 끊임없이 요구했지만 사회적 이슈가 되지 않았던 장애인 이동권
222,222,"연합뉴스이준석 국민의힘 대표 페이스북이준석 국민의힘 대표는 최근 자신에게 제기된 여성 혐오, 장애인 혐오 등 정치권과 시민사회 등의 비판을 두고 '프레임 전쟁'이라고 평가하면서 반박했다박지현 더불어민주당 공동비상대책위원장은 지난 21일 한 언론 인터뷰를 통해 이준석 국민의힘 대표에 대해 ""혐오와 갈등을 조장하는 정치적 언어에 대한 대중의 평가가 있었다고 생각한다장애인의 일상적인 생활을 위한 이동권 투쟁이 수백만 서울시민의 아침을 볼모로 잡는 부조리에 대해 적극적으로 개입해야 한다""고 페이스북을 통해 밝힌 것과 관련, 전국장애인차별철폐연대(전장연) 관계자는 한 언론을 통해 ""이준석 대표의 페이스북 글은 혐오 문화를 조장하는 21세기의 나치와 다름없다""면서 ""이준석 대표는 여성혐오 발언 등으로 소수 세력과 다수 세력을 갈라치기 전선을 만드는 것에 대한 분명한 윤리적 책임을 져야 한다""고 비판한 바 있다▶이어진 글에서 이준석 대표는 ""왜냐하면 지금까지 수많은 모순이 제기됐을 때 언더도그마 담론으로 묻어버리는 것이 가장 편하다는 것을 학습했기 때문""이라며 ""치열하게 내용을 놓고 토론하기 보다는 프레임 전쟁을 벌여야 하는 것""이라고 분석했다"
223,223,부산 지역 장애인 이동권은 서울보다도 턱없이 열악할 뿐 아니라 실태 파악조차 제대로 되지 않아 부산시의 적극적인 조치가 필요하다는 목소리가 높다28일 부산시에 따르면 지난해 12월 기준 부산시 시내버스 총 2517대 중 휠체어 접근이 가능한 저상버스는 728대다서울 66%·대구 48% 비해 저조저상버스 도입 의무화 별무소용언덕 운행 불편 이유 교체 기피‘두리발’도 시간대별 일부만 운행불편사항 실태조사부터 나서야지난해 연말 개정된 ‘교통약자의 이동편의 증진법’에 따르면 버스를 교체할 때 의무적으로 저상버스를 도입해야 한다부산시 버스운영과 관계자는 “교통약자법에 따라 도로의 구조나 시설이 저상버스 운행에 적합하지 않으면 저상버스로 교체하지 않아도 된다”며 “부산은 지역 특성상 언덕이 많아 저상버스 운행이 불편한 곳이 있어 버스를 전부 저상버스로 교체하지 않는다”고 말했다휠체어 탑승이 가능한 부산시 장애인 콜택시 ‘두리발’은 총 206대에 불과하다2021년 기준 부산시 등록장애인 17만 6000여 명 중 휠체어 이용 장애인 수는 집계가 안 됐다
224,224,"연합뉴스대통령직인수위원회가 29일 서울 지하철 출근길 시위를 벌이고 있는 전국장애인차별철폐연대(전장연)의 입장을 듣기 위해 시위 현장을 찾은 것은 잘한 일이다국힘 이준석 대표 갈라치기 그만두고인수위, 열악한 지방 더 큰 관심 절실서울의 시위 현장을 바라보는 지방의 심정은 더 착잡하다부산시 시내버스 총 2517대 중 휠체어 탑승 가능한 저상버스는 728대로 28인수위는 서울의 장애인 이동권에만 신경을 쓰지 말고 열악한 지방에 더 큰 관심을 가져 줄 것을 당부한다한편으로 곧 여당이 될 국민의힘 이준석 대표가 연일 장애인단체의 출근길 지하철 시위를 비난만 하고 있으니 도대체 무슨 심보인지 모르겠다"
225,225,"저상버스 도입률 하위권 지난 2월 서울 지하철에서는 대규모 장애인 이동권 보장 시위가 잇따라 진행됐다통계적인 측면에서도 장애인 이동권 증진을 위해 꼭 필요한 '저상버스'와 '특별교통수단'의 충북 내 운영 대수는 전국에서도 극하위권이다청주시에 위치한 중증장애인평생교육시설 다사리학교의 대표이자 충북장차연의 공동 대표인 송상호 대표는 ""충북장차연 내에서 자체적으로 계산해보니 통계에서 발표한 만큼의 저상버스 수치가 나오지 않았다이동에 심한 불편을 느끼는 교통약자의 이동을 지원하기 위해 <교통약자의이동편의증진법>이 규정하고 있는 휠체어 탑승 설비를 장착한 특별교통수단 상황도 열악하기는 마찬가지다수치화할 수는 없지만 분명히 존재하는 수많은 어려움이처럼 통계적 측면에서 볼 때, 충북의 장애인 이동권 현황은 매우 열악하다통계적 수치를 개선하는 것도 중요하지만 통계적으로 수치화할 수는 없어도 분명히 존재하는 장애인 이동권과 관련한 수많은 어려움이 있다장애인 당사자이자 휠체어 이용자인 충북장차연 장새롬 사무국장은 ""장애인 탑승자를 그냥 지나치는 버스가 많다휠체어 탑승자가 버스에 승차하면 다른 승객이 불편하지 않게 버스 좌석을 접는 등 휠체어를 고정할 자리를 마련해 줘야 하는데, 기사분들이 매우 번거롭게 생각하는 것 같다""라고 말했다또 다른 휠체어 탑승자인 인권연대 '숨'의 이구원 활동가는 ""장애인들에게 저상버스 이용은 일종의 '도전'이다장새롬 사무국장은 ""현재 야간에 운행되는 해피콜(청주시 장애인 콜택시) 수가 두 대 정도밖에 안 된다고 들었다실제로 지역 장애인 커뮤니티를 살펴보면, 주말이나 야간 시간대에 해피콜 이용 대수 감축으로 불편을 겪었다는 이들을 어렵지 않게 발견할 수 있었다그리고 주말이나 야간에 해피콜 대수가 감축될 수밖에 없는 이유는 일반택시와 해피콜의 차이 때문이다일단 보은과 영동 같은 경우는 아예 장애인 콜택시 운행 대수가 0대다장새롬 사무국장도 ""광역이동이 필요한 상황임에도 차가 없어 아예 이동 자체를 하지 못해 불편을 겪는 장애인이 많다수많은 장애인이 광역이동 불가로 인한 불편으로 울분을 토하는 일이 없었으면 한다""라고 말했다전국장애인차별철폐연대(이하 전장연)는 장애인 이동권 보장을 포함해 장애인 권리 보장에 필요한 여러 요구사항을 정책에 반영하기 위해 서울 지하철 역사 내에서 출퇴근 시간대에 대규모 시위를 벌였다""(장애인) 본인들이 겪었던 피해로 다른 사람에게 피해 주는 건 너무 이기적인 게 아니냐"", ""시위 취지는 이해하지만, 출퇴근 시간대에 하는 건 엄연한 민폐""라는 등의 시위에 대한 부정적인 반응이 적지 않았다장애인 이동권 보장을 위한 장애인들의 목소리와 행동은 장애인들의 '이기심'에서 자행되는 민폐 행위가 아니다장애인 이동권 보장은 곧 장애인을 포함한 모든 교통약자의 이동권 보장이자, 우리 사회에서 소수자라는 이유로 소외된 이들의 권리의 보장이라는 것이다"
